0,0
1,-15
2,-32
3,-40
4,-38
5,-46
6,-43
7,-40
8,-44
9,-52
10,-55
11,-63
12,-60
13,-72
14,-74
15,-78
16,-74
17,-83
18,-83
19,-85
20,-78
21,-85
22,-83
23,-86
24,-80
25,-86
26,-84
27,-88
28,-84
29,-92
30,-89
31,-91
32,-90
33,-100
34,-92
35,-92
36,-86
37,-96
38,-91
39,-90
40,-84
41,-98
42,-95
43,-95
44,-90
45,-102
46,-103
47,-106
48,-101
49,-111
50,-107
51,-110
52,-106
53,-117
54,-110
55,-108
56,-103
57,-117
58,-111
59,-114
60,-106
61,-117
62,-113
63,-117
64,-111
65,-124
66,-116
67,-116
68,-111
69,-129
70,-122
71,-127
72,-117
73,-131
74,-126
75,-131
76,-122
77,-140
78,-127
79,-131
80,-122
81,-137
82,-131
83,-133
84,-124
85,-135
86,-126
87,-127
88,-122
89,-137
90,-129
91,-127
92,-122
93,-135
94,-131
95,-135
96,-127
97,-142
98,-133
99,-135
100,-127
101,-144
102,-137
103,-140
104,-127
105,-147
106,-135
107,-140
108,-131
109,-149
110,-142
111,-140
112,-131
113,-147
114,-140
115,-142
116,-135
117,-152
118,-142
119,-142
120,-133
121,-149
122,-144
123,-142
124,-135
125,-149
126,-142
127,-140
128,-135
129,-152
130,-147
131,-147
132,-140
133,-154
134,-147
135,-152
136,-144
137,-166
138,-157
139,-160
140,-149
141,-166
142,-160
143,-160
144,-154
145,-176
146,-163
147,-163
148,-152
149,-166
150,-157
151,-160
152,-149
153,-166
154,-154
155,-152
156,-147
157,-160
158,-149
159,-152
160,-144
161,-160
162,-152
163,-152
164,-142
165,-163
166,-154
167,-160
168,-152
169,-173
170,-160
171,-163
172,-152
173,-173
174,-166
175,-169
176,-160
177,-180
178,-166
179,-169
180,-157
181,-176
182,-166
183,-169
184,-157
185,-176
186,-163
187,-163
188,-152
189,-173
190,-166
191,-169
192,-160
193,-176
194,-166
195,-169
196,-160
197,-180
198,-173
199,-176
200,-166
201,-187
202,-180
203,-176
204,-163
205,-187
206,-176
207,-176
208,-169
209,-187
210,-180
211,-176
212,-166
213,-183
214,-173
215,-173
216,-163
217,-183
218,-176
219,-173
220,-160
221,-180
222,-169
223,-173
224,-163
225,-187
226,-176
227,-180
228,-166
229,-187
230,-180
231,-180
232,-169
233,-196
234,-187
235,-187
236,-173
237,-191
238,-183
239,-180
240,-169
241,-191
242,-180
243,-187
244,-173
245,-191
246,-180
247,-180
248,-169
249,-187
250,-180
251,-183
252,-173
253,-196
254,-180
255,-183
256,-173
257,-191
258,-183
259,-187
260,-176
261,-196
262,-187
263,-187
264,-173
265,-191
266,-183
267,-187
268,-176
269,-191
270,-187
271,-187
272,-173
273,-191
274,-183
275,-183
276,-173
277,-196
278,-187
279,-187
280,-173
281,-196
282,-183
283,-187
284,-176
285,-200
286,-191
287,-191
288,-180
289,-205
290,-191
291,-191
292,-180
293,-205
294,-196
295,-196
296,-183
297,-205
298,-196
299,-191
300,-183
301,-205
302,-196
303,-196
304,-187
305,-210
306,-200
307,-196
308,-187
309,-210
310,-200
311,-200
312,-187
313,-215
314,-200
315,-205
316,-191
317,-215
318,-200
319,-200
320,-187
321,-215
322,-200
323,-205
324,-191
325,-220
326,-200
327,-200
328,-187
329,-210
330,-200
331,-200
332,-191
333,-215
334,-205
335,-205
336,-187
337,-215
338,-200
339,-200
340,-191
341,-220
342,-200
343,-210
344,-196
345,-215
346,-205
347,-210
348,-191
349,-220
350,-205
351,-210
352,-200
353,-226
354,-210
355,-215
356,-196
357,-220
358,-210
359,-210
360,-200
361,-232
362,-220
363,-215
364,-205
365,-226
366,-215
367,-215
368,-200
369,-232
370,-215
371,-220
372,-200
373,-232
374,-215
375,-215
376,-200
377,-220
378,-210
379,-215
380,-200
381,-226
382,-215
383,-215
384,-200
385,-226
386,-205
387,-210
388,-200
389,-220
390,-210
391,-215
392,-200
393,-226
394,-210
395,-210
396,-196
397,-220
398,-215
399,-215
400,-205
401,-232
402,-215
403,-220
404,-200
405,-226
406,-215
407,-215
408,-200
409,-226
410,-220
411,-215
412,-205
413,-232
414,-220
415,-215
416,-205
417,-232
418,-220
419,-220
420,-205
421,-238
422,-226
423,-226
424,-210
425,-238
426,-226
427,-226
428,-210
429,-238
430,-226
431,-232
432,-215
433,-245
434,-232
435,-226
436,-215
437,-245
438,-226
439,-226
440,-215
441,-252
442,-226
443,-232
444,-215
445,-245
446,-226
447,-226
448,-210
449,-245
450,-232
451,-232
452,-220
453,-245
454,-232
455,-232
456,-215
457,-238
458,-226
459,-205
460,-238
461,-245
462,-232
463,-232
464,-215
465,-252
466,-232
467,-226
468,-215
469,-245
470,-232
471,-232
472,-215
473,-252
474,-238
475,-238
476,-232
477,-252
478,-238
479,-238
480,-226
481,-252
482,-245
